GEOID,Total,Elementary,Middle,High,STATEFP20,COUNTYFP20,TRACTCE20,Total Students,Grade_Cluster_Elementary,Grade_Cluster_Middle,Grade_Cluster_High,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
37119004500,3036,232,203,140,37,119,004500,517,239,114,164,0.17028985507246377,0.6925395620184098,0.5615763546798029,0.5956669683734754,1,0,1
37119004600,2489,92,163,150,37,119,004600,419,176,90,153,0.1683406990759341,0.6925395620184098,0.5521472392638037,0.5956669683734754,1,0,1
37119004700,1734,13,88,251,37,119,004700,145,64,37,44,0.08362168396770472,0.6925395620184098,0.42045454545454547,0.1752988047808765,1,0,0
37119004800,3108,205,77,71,37,119,004800,478,207,112,159,0.1537966537966538,0.6925395620184098,0.46119611095851776,0.5956669683734754,1,1,1
37119004900,841,26,25,57,37,119,004900,91,38,21,32,0.10820451843043995,0.6925395620184098,0.84,0.5614035087719298,1,0,0
37119005000,2504,361,105,96,37,119,005000,376,168,102,106,0.1501597444089457,0.46537396121883656,0.9714285714285714,0.5956669683734754,0,0,1
37119005100,2168,13,93,50,37,119,005100,289,133,71,85,0.13330258302583026,0.6925395620184098,0.7634408602150538,0.5956669683734754,1,0,1
37119005200,1596,60,45,127,37,119,005200,169,67,51,51,0.10588972431077694,0.6925395620184098,0.46119611095851776,0.4015748031496063,1,1,0
37119005301,4534,435,566,183,37,119,005301,527,274,105,148,0.11623290692545214,0.6298850574712643,0.1855123674911661,0.8087431693989071,0,0,0
37119005305,4287,258,240,259,37,119,005305,714,313,161,240,0.16655003498950316,0.6925395620184098,0.6708333333333333,0.9266409266409267,1,0,0
37119005306,2329,176,113,196,37,119,005306,573,260,138,175,0.24602833834263632,0.6925395620184098,0.46119611095851776,0.8928571428571429,1,1,0
37119005307,4332,285,403,177,37,119,005307,656,323,145,188,0.15143120960295475,0.6925395620184098,0.3598014888337469,0.5956669683734754,1,0,1
37119005308,2512,216,284,148,37,119,005308,729,365,168,196,0.29020700636942676,0.6925395620184098,0.5915492957746479,0.5956669683734754,1,0,1
37119005403,5920,388,806,541,37,119,005403,888,353,202,333,0.15,0.9097938144329897,0.2506203473945409,0.6155268022181146,0,0,0
37119005404,4515,220,365,365,37,119,005404,849,342,209,298,0.18803986710963455,0.6925395620184098,0.5726027397260274,0.8164383561643835,1,0,0
